price,beds,baths,prop_type,address,link
1800,1,1,Apartment,"Kenilworth Road, Dublin 6",N/A
2500,2,1,Apartment,"Leonards Court, Dublin 8",N/A
N/A,5,5,House,"Luxury Retreat in Killiney, Killiney, Co. Dublin",N/A
4500,5,3,House,"4 Blackberry Hill, Carrickmines, Dublin 18",N/A
8000,5,3,House,"72 Cowper Road, Dublin 6, Rathgar, Dublin 6",N/A
3177,2,2,Apartment,"Apartment 1, Verona, Queen's Park, Monkstown, Monkstown, Co. Dublin",N/A
2535,2,1,Apartment,"Apartment 10, Rosemount Court, Inchicore Road, Kilmainham, Dublin 8",N/A
2375,2,1,Apartment,"Ard Eadrad Apt, Blakestown Road, Mulhuddart, Dubli, Blanchardstown, Dublin 15",N/A
1950,1,1,Apartment,"Harold's Cross Road, Harold's Cross, Dublin 6W",N/A
2000,1,1,Apartment,"1a Ardlea Road, Dublin 5, Artane, Dublin 5",N/A
2000,1,1,Apartment,"Bachelors Walk, Dublin 1",N/A
2040,3,1,House,"Kincora Court, Dublin 3, Dublin 3",N/A
